Indicador 3.3.5 - Número de pessoas que necessitam de intervenção contra doenças tropicais negligenciadas (DTN);;
Número de pessoas que necessitam de intervenção contra doenças tropicais negligenciadas (DTN);;
"Brasil, Grandes Regiões e Unidades da Federação";2018;2019
Brasil;1285370;2556446
Norte;193313;217375
Rondônia;2690;2669
Acre;14306;17062
Amazonas;83947;85800
Roraima;12075;13779
Pará;48877;50280
Amapá;24473;30214
Tocantins;6943;17570
Nordeste;741748;873657
Maranhão;112474;107097
Piauí;5364;11018
Ceará;25635;37189
Rio Grande do Norte;140020;147366
Paraíba;26991;35374
Pernambuco;81254;105819
Alagoas;99819;117569
Sergipe;162839;169574
Bahia;87349;142647
Sudeste;165851;1106315
Minas Gerais;99766;547575
Espírito Santo;12304;66091
Rio de Janeiro;22724;38817
São Paulo;31056;453831
Sul;60656;107176
Paraná;54144;96944
Santa Catarina;5157;7259
Rio Grande do Sul;1354;2973
Centro-Oeste;122061;250324
Mato Grosso do Sul;6836;66421
Mato Grosso;15585;19198
Goiás;95095;124191
Distrito Federal;4545;40514
